studentID,courseID,courseWorkMarks,totalMark
U1722744J,CZ2001,Coursework=40=70.0=Assignment/70/100.0=ClassPart/30/0.0|Exam=60=100.0=|,88.0
U1234567L,CZ2001,Exam=60=100.0=|Coursework=40=88.0=Assignment/70/100.0=ClassPart/30/60.0,95.2
U1822832L,CZ2005,Lab Assignments=40=75.0=Oral Assessment/25/90.0=Lab Report/75/70.0|Exam=60=75.0=|,75.0
U1723456K,CZ2005,Exam=60=75.0=|Lab Assignments=40=75.0=Oral Assessment/25/90.0=Lab Report/75/70.0|,75.0
U1234567J,CZ2005,Exam=60=95.0=|Lab Assignments=40=92.5=Oral Assessment/25/100.0=Lab Report/75/90.0,94.0
U1822835D,CZ2005,Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|Exam=60=90.0=|,88.0
U1822836B,CZ2005,Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|Exam=60=90.0=,88.0
U1822837K,CZ2005,Exam=60=90.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|,88.0
U1822838J,CZ2005,Exam=60=85.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0,85.0
U1822839K,CZ2005,Exam=60=85.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0,85.0
U1822840D,CZ2005,Exam=60=85.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0,85.0
U1822841A,CZ2005,Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|Exam=60=90.0=|,88.0
U1822842F,CZ2005,Exam=60=90.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|,88.0
U1822843I,CZ2005,Exam=60=90.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0|,88.0
U1822821E,CZ2005,Exam=60=90.0=|Lab Assignments=40=85.0=Oral Assessment/25/100.0=Lab Report/75/80.0,88.0
U1712312B,CZ2005,Lab Assignments=40=92.5=Oral Assessment/25/100.0=Lab Report/75/90.0|Exam=60=95.0=|,94.0
U1812312D,CZ2005,Exam=60=95.0=|Lab Assignments=40=92.5=Oral Assessment/25/100.0=Lab Report/75/90.0,94.0
U1829392I,CZ2005,Lab Assignments=40=92.5=Oral Assessment/25/100.0=Lab Report/75/90.0|Exam=60=95.0=,94.0
U1822023E,CZ2005,Exam=60=80.0=|Lab Assignments=40=65.0=Oral Assessment/25/80.0=Lab Report/75/60.0,74.0
U1829393K,CZ2005,Lab Assignments=40=65.0=Oral Assessment/25/80.0=Lab Report/75/60.0|Exam=60=80.0=|,74.0
U1722744J,CZ2005,Exam=60=80.0=|Lab Assignments=40=65.0=Oral Assessment/25/80.0=Lab Report/75/60.0|,74.0
U1800001L,CZ2005,Lab Assignments=40=75.0=Oral Assessment/25/90.0=Lab Report/75/70.0|Exam=60=75.0=,75.0
U1800001L,CZ2001,Coursework=40=100.0=Assignment/70/100.0=ClassPart/30/100.0|Exam=60=95.0=|,97.0
U1800001L,CZ1006,Course Work=40=86.0=Assignment/70/80.0=Paticipation/30/100.0|Exam=60=80.0=|,82.4
U1800001L,CZ2007,Coursework=40=93.0=Labwork/70/90.0=Presentation/30/100.0|Exam=60=88.0=,90.0
U1822836B,CZ1006,Exam=60=0.0=|Course Work=40=0.0=Assignment/70/0.0=Paticipation/30/0.0,0.0
U1800001L,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1723456K,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1234567J,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822835D,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822836B,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822837K,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822838J,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822839K,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822840D,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
U1822841A,CZ0001,Exam=60=0.0=|CourseWork=40=0.0=,0.0
